Буква,к-сть,Частота,Ентропія,Загальна Ентропія,Надлишковість
об,1041,0.0045149370250858745,0.03517622842249163,,
ыт,212,0.0009194684431490927,0.009274597565622215,,
ем,1228,0.00532597758578814,0.04022571291393313,,
ло,1909,0.008279553103639706,0.05726330503417177,,
чн,225,0.0009758509420214427,0.00975953560729614,,
жд,218,0.0009454911349363311,0.009499017043624705,,
се,862,0.0037385933867665937,0.03014535786144841,,
кр,623,0.002702022830574928,0.02305296820742809,,
ое,601,0.00260660629402172,0.022374096001919717,,
мт,96,0.00041636306859581555,0.004675703246502443,,
ай,139,0.0006028590264043579,0.006448114856960202,,
ру,684,0.002966586863745186,0.024910371328873873,,
юм,54,0.00023420422608514625,0.0028244901487874566,,
рн,295,0.0012794490128725583,0.012295839754362976,,
еп,831,0.0036041428125325285,0.029251684779691128,,
ож,537,0.002329030914957843,0.020369831302814546,,
ва,1733,0.007516220811214045,0.05303277667785201,,
шк,107,0.00046407133687241943,0.005138831664268138,,
лю,204,0.0008847715207661081,0.008973713246987997,,
бл,162,0.0007026126782554387,0.00735985569879624,,
ен,2037,0.00883470386176746,0.06027567272510753,,
юе,12,5.2045383574476944e-05,0.0007405990565362363,,
зв,331,0.001435585163595989,0.013557874970562225,,
им,817,0.0035434231983623053,0.02884573441445838,,
ар,1449,0.006284480066618091,0.045964629977322,,
га,702,0.003044654939106901,0.025451809869531307,,
ри,1686,0.007312376392214011,0.05188455684736742,,
юн,73,0.0003166094167447347,0.0036805870703279374,,
ик,981,0.00425471010721349,0.033513174860779316,,
вн,371,0.001609069775510912,0.014931455336646011,,
вс,780,0.0033829499323410014,0.027765569889238124,,
во,1891,0.008201485028277992,0.05683546392164518,,
йб,90,0.0003903403768085771,0.004419816153590633,,
ущ,66,0.0002862496096596232,0.0033692834701298377,,
ей,542,0.0023507164914472085,0.020528063662593046,,
пр,1775,0.007698379653724715,0.05405209004770376,,
ав,1146,0.004970334131362548,0.03803519089861652,,
до,915,0.003968460497553867,0.03165722228778863,,
йо,107,0.00046407133687241943,0.005138831664268138,,
пи,349,0.0015136532389577045,0.014179524443256491,,
са,442,0.0019170049616599007,0.017304670008061396,,
лс,700,0.003035980708511155,0.025391794016616568,,
юв,76,0.000329620762638354,0.003812692133023342,,
ак,1477,0.006405919294958537,0.04667595366284052,,
ра,2113,0.009164324624405815,0.062040239055845645,,
си,544,0.0023593907220429548,0.020591275644826622,,
иу,162,0.0007026126782554387,0.00735985569879624,,
ом,1666,0.007225634086256549,0.05139347917322868,,
ун,362,0.0015700357378300544,0.014624862308320843,,
ад,766,0.003322230318170778,0.027354022493884307,,
од,1432,0.006210749106554249,0.04553110725645195,,
ье,338,0.0014659449706811007,0.01380033754820036,,
су,214,0.0009281426737448389,0.009349520654791438,,
нн,946,0.004102911071787932,0.032532541523918664,,
ть,1295,0.005616564310745637,0.041989976170208596,,
ск,1091,0.004731792789979529,0.036545516068461834,,
аз,1213,0.005260920856320044,0.03982763792745745,,
ие,524,0.0022726484160854933,0.019957057008131128,,
же,820,0.0035564345442559244,0.028932849277750694,,
нщ,42,0.0001821588425106693,0.0022628710172688526,,
ин,1236,0.005360674508171125,0.04043754989828847,,
ыв,317,0.001374865549425766,0.013070150742902183,,
чт,819,0.0035520974289580515,0.02890381863307091,,
оу,173,0.0007503209465320426,0.0077884848996794855,,
дн,576,0.0024981784115748933,0.021596521964982417,,
оо,481,0.0020861524582769506,0.018577061823512583,,
тд,80,0.0003469692238298463,0.003987684215718066,,
ыз,65,0.0002819124943617501,0.003324443211541482,,
бы,757,0.0032831962804899207,0.02708861266632039,,
ят,436,0.0018909822698726622,0.017107051817376748,,
ьс,438,0.0018996565004684085,0.017172981604005606,,
юж,16,6.939384476596926e-05,0.0009586643609179695,,
из,759,0.0032918705110856665,0.02714765020936572,,
нь,255,0.001105964400957635,0.01086110054612146,,
жи,339,0.0014702820859789736,0.013834900567496906,,
зн,414,0.0017955657333194545,0.016377975988084888,,
ьм,190,0.000824051906595885,0.008442392965583757,,
ты,392,0.001700149196766247,0.01564158160770849,,
ни,1960,0.008500745983831234,0.05846978711118379,,
ла,2254,0.00977585788140592,0.06526911120698772,,
ны,863,0.003742930502064467,0.030174068511522895,,
зд,252,0.0010929530550640159,0.010751983441224012,,
дц,51,0.00022119288019152702,0.0026858140721300536,,
ня,415,0.0017999028486173276,0.016411271630977657,,
ям,184,0.0007980292148086465,0.008212734769434852,,
юо,43,0.0001864959578085424,0.00231041785845031,,
че,1011,0.004384823566149682,0.034347487125305956,,
уп,340,0.0014746192012768467,0.013869445129142104,,
сп,516,0.0022379514937025087,0.019702042118047325,,
ец,84,0.0003643176850213386,0.004161424349516367,,
иа,99,0.0004293744144894348,0.004802757273949334,,
ли,1790,0.007763436383192811,0.05441461578594444,,
му,466,0.0020210957288088545,0.018090113670643886,,
сд,102,0.00044238576038305405,0.004929242383877053,,
ше,539,0.0023377051455535894,0.02043315905168075,,
жн,180,0.0007806807536171542,0.008058951553564113,,
ео,307,0.001331494396447035,0.012719417021377352,,
тк,286,0.0012404149751917004,0.011976158750398072,,
ры,364,0.0015787099684258007,0.01469311387678573,,
ти,1105,0.0047925124041497515,0.03692631822801175,,
уд,585,0.002537212449255751,0.021877215727006852,,
уж,343,0.001487630547170466,0.013972968609454071,,
ее,425,0.0018432740015960584,0.01674340472373841,,
лм,90,0.0003903403768085771,0.004419816153590633,,
бр,265,0.0011493355539363658,0.01122324355176272,,
ио,374,0.0016220811214045314,0.015033347772054947,,
бо,576,0.0024981784115748933,0.021596521964982417,,
жа,346,0.0015006418930640852,0.014076327906294886,,
