Буква,к-сть,Частота,Ентропія,Загальна Ентропія,Надлишковість
ла,2122,0.007743536409582717,0.05430380786797713,,
сь,952,0.0034740087944970534,0.028379813163445806,,
ер,1697,0.006192639626325104,0.04542443467921567,,
ез,395,0.0014414217162041344,0.013604558762448307,,
 п,4574,0.0166912985567537,0.09855811192084192,,
чь,70,0.0002554418231247833,0.0030486260285511038,,
оз,391,0.0014268250405970041,0.01348774264296147,,
аб,152,0.0005546736730709581,0.0059993910102631815,,
ыл,531,0.0019377086868465707,0.017461531212343,,
ег,849,0.0030981443976134436,0.025821112389076986,,
эт,670,0.002444943164194355,0.021212286199823974,,
бы,720,0.0026274016092834858,0.022522474255764622,,
ть,1312,0.004787709599138796,0.0368962381151058,,
гл,446,0.0016275293301950481,0.015075968145824686,,
он,1454,0.005305891583191928,0.04010293186511426,,
ко,2377,0.008674074479537285,0.05940938192793171,,
не,2366,0.008633933621617677,0.059192231015998374,,
чн,217,0.0007918696516868284,0.008158197025241343,,
 з,1309,0.004776762092433448,0.036827647559765996,,
пр,1790,0.006532012334190888,0.0474110227435218,,
де,1076,0.003926505738318098,0.031382747416847996,,
се,851,0.003105442735417009,0.025871397840954328,,
тк,185,0.0006750962468297845,0.007110531678515592,,
ро,2212,0.008071961610743153,0.05612325913448118,,
ем,1020,0.0037221522798182713,0.03003645574088972,,
ай,156,0.0005692703486780885,0.00613593648243929,,
ую,304,0.0011093473461419162,0.010889434674384448,,
ож,420,0.0015326509387487,0.014329910967946157,,
ел,1673,0.006105059572682321,0.044907468459274937,,
ры,356,0.0012991041290346123,0.012456157523772542,,
во,1737,0.006338606382396409,0.046282086278838355,,
зл,88,0.00032112686335687045,0.0037265388509897016,,
юб,50,0.00018245844508913095,0.0022661602444836782,,
ле,1168,0.004262229277282099,0.0335615438347398,,
нн,827,0.003017862681774226,0.025266322332347463,,
ар,1357,0.004951922199719014,0.037920808212293315,,
га,685,0.0024996806977210942,0.021607341097852263,,
ри,1660,0.006057620376959148,0.0446266899180774,,
ев,580,0.002116517963033919,0.01880333935441408,,
вс,590,0.002153009652051745,0.01907443721971886,,
чт,836,0.0030507052018902696,0.02549364972377729,,
ма,1078,0.003933804076121664,0.03143054060584634,,
ей,551,0.002010692064882223,0.018011964768599044,,
 б,1728,0.006305763862280366,0.046089541500711595,,
су,183,0.0006677979090262192,0.00704413322031173,,
ав,625,0.002280730563614137,0.020016348874612212,,
до,923,0.0033681828963453573,0.02766562716863615,,
пи,335,0.0012224715820971775,0.011828614682009164,,
са,434,0.0015837393033736567,0.01473265474710903,,
ою,110,0.0004014085791960881,0.004528948864565087,,
бл,168,0.0006130603754994799,0.006542386121413421,,
ен,1657,0.0060466728702538,0.04456181890706721,,
ра,2096,0.007648658018136369,0.053774484039685155,,
си,459,0.0016749685259182222,0.015445974006681261,,
 у,1162,0.004240334263871403,0.03342064519867323,,
мн,341,0.001244366595507873,0.012008601437874931,,
ом,1467,0.0053533307789151025,0.04039274093464385,,
у ,1765,0.006440783111646323,0.04687955015355577,,
 д,1436,0.005240206542959841,0.03970064638799744,,
об,786,0.0028682467568011383,0.02422410823294047,,
ит,1217,0.004441038553469447,0.03470621529737543,,
ещ,164,0.0005984636998923495,0.006407420864065274,,
од,1235,0.004506723593701535,0.03512407562656891,,
ос,1512,0.00551754337949532,0.04139127638751607,,
жн,171,0.0006240078822048278,0.00664328034626241,,
ск,1045,0.003813381502362837,0.030639427512587237,,
аз,1124,0.0041016658456036635,0.03252446416465391,,
ат,1335,0.0048716404838797965,0.03742090529025091,,
ие,453,0.0016530735125075263,0.015275446315093305,,
 ж,464,0.0016932143704271353,0.015587764760038775,,
щи,261,0.0009524330833652635,0.009558708567822524,,
ны,841,0.0030689510463991826,0.025619721954782907,,
дн,526,0.0019194628423376576,0.017323308880891442,,
ы ,1128,0.004116262521210794,0.032619113610853664,,
ят,324,0.0011823307241775685,0.011497162066821763,,
из,599,0.002185852172167789,0.019317661907813432,,
нь,242,0.0008830988742313938,0.00895915942078538,,
