Буква,к-сть,Частота,Ентропія,Загальна Ентропія,Надлишковість
ня,786,0.0017044863120641198,0.015675218492612455,,
ят,870,0.0018866451545747891,0.01707406541362398,,
ьс,878,0.0019039936157662816,0.017205925052412585,,
юж,30,6.505672946809618e-05,0.0009048052316930285,,
жи,662,0.001435585163595989,0.013557874970562225,,
из,1496,0.003244162242809063,0.02682253330130083,,
зн,835,0.0018107456368620103,0.01649444485361202,,
нь,483,0.0010474133444363484,0.010368295881009893,,
ьм,346,0.0007503209465320426,0.0077884848996794855,,
ты,833,0.0018064085215641372,0.016461186836435444,,
ын,307,0.0006657471982235175,0.007025455708912193,,
ыб,239,0.0005182852780958329,0.0056565478853128105,,
зд,498,0.0010799417091703965,0.010642642861950224,,
ая,1267,0.002747562541202595,0.023375250898260463,,
дц,111,0.00024070989903195587,0.0028934333399237328,,
ца,343,0.000743815273585233,0.007730299578312269,,
ти,2148,0.004658061829915686,0.0360816007757134,,
яя,107,0.00023203566843620971,0.0028014515005702787,,
ям,353,0.0007655008500745984,0.007923935379383172,,
юо,91,0.00019733874605322508,0.0024286554727578915,,
уп,661,0.0014334166059470526,0.013540521000099684,,
пн,141,0.00030576662850005204,0.0035699114367690973,,
сп,1039,0.0022531313972450643,0.019813705923272636,,
ец,170,0.00036865480031921167,0.00420467088292395,,
ци,161,0.00034913778147878285,0.004009468918232146,,
иа,206,0.0004467228756809271,0.004971280582387815,,
уж,712,0.001544013046042816,0.014419691222402728,,
ес,3091,0.006703011692862843,0.04840227874717695,,
сд,199,0.0004315429721383713,0.00482387716929601,,
вш,524,0.0011363242080427466,0.01111485271210831,,
ше,1094,0.002372402067936574,0.020686007405052154,,
йш,139,0.00030142951320217897,0.00352548694168228,,
ее,847,0.0018367683286492488,0.016693679473699173,,
уд,1159,0.002513358315117449,0.021705784457514126,,
рс,144,0.00031227230144686166,0.0036363821499633873,,
тв,1375,0.0029817667672877414,0.02501588077237495,,
ач,748,0.0016220811214045314,0.015033347772054947,,
лм,186,0.0004033517227021963,0.004548062517160813,,
дк,257,0.0005573193157766906,0.006024180531384086,,
бр,542,0.0011753582457236043,0.011439390077020127,,
рч,127,0.0002754068214149405,0.0032570018540127024,,
ио,748,0.0016220811214045314,0.015033347772054947,,
жа,690,0.001496304777766212,0.014041892961570076,,
со,1381,0.002994778113181361,0.025106228678837113,,
ои,999,0.002166389091287603,0.019173609115989133,,
мм,160,0.0003469692238298463,0.003987684215718066,,
мв,415,0.0008999514243086638,0.009105587239797493,,
дв,564,0.0012230665140002081,0.011833512719075972,,
мз,117,0.0002537212449255751,0.0030305653044887504,,
ьв,619,0.001342337184691718,0.012807288978909844,,
рх,117,0.0002537212449255751,0.0030305653044887504,,
хп,201,0.0004358800874362444,0.004866069874066921,,
ек,1138,0.0024678186044897817,0.021377596945670405,,
бн,173,0.0003751604732660213,0.004269402923105764,,
ду,851,0.001845442559244995,0.016759972439964334,,
ми,1756,0.003807987231532563,0.03060386287329261,,
еу,347,0.0007524895041809792,0.007807861887576026,,
ул,1217,0.0026391346587557683,0.022606086735363566,,
лк,537,0.0011645154574789216,0.011349431108886194,,
рб,62,0.00013445057423406545,0.0017291199574150243,,
ки,1651,0.0035802886783942263,0.02909238167422426,,
ий,787,0.0017066548697130565,0.015692030961979152,,
вэ,155,0.0003361264355851636,0.0038784649149031848,,
уб,437,0.0009476596925852677,0.009517671627530509,,
ед,1866,0.004046528572915583,0.03216625826442588,,
ди,1125,0.002439627355053607,0.021173827076539246,,
яе,131,0.00028408105201068666,0.0033468752820484506,,
сл,1386,0.0030056209014260437,0.025181456286187728,,
ип,1173,0.0025437181222025605,0.021923913427169883,,
яв,880,0.0019083307310641547,0.01723885424765295,,
тс,708,0.00153533881544707,0.01435116077216089,,
дп,144,0.00031227230144686166,0.0036363821499633873,,
пу,430,0.0009324797890427119,0.009386938272158633,,
ьо,375,0.0008132091183512023,0.008346848316677582,,
ея,163,0.0003534748967766559,0.004052980146552651,,
яс,863,0.0018714652510322335,0.016958499506793682,,
уа,141,0.00030576662850005204,0.0035699114367690973,,
др,524,0.0011363242080427466,0.01111485271210831,,
уо,187,0.00040552028035113286,0.004569377503716002,,
лд,148,0.00032094653204260785,0.0037247062738371296,,
их,795,0.0017240033309045488,0.01582638802794655,,
рм,126,0.00027323826376600397,0.003234472387838011,,
ьг,142,0.0003079351861489886,0.003592090322155563,,
ах,687,0.0014897991048194025,0.013990206521804275,,
хм,120,0.0002602269178723847,0.0030987670910273446,,
нр,54,0.00011710211304257312,0.0015293471874363014,,
ср,119,0.00025805836022344816,0.0030760595272421895,,
мы,404,0.0008760972901703619,0.008898188389680414,,
ых,505,0.0010951216127129523,0.010770185072649863,,
хе,51,0.00011059644009576351,0.0014535034761607901,,
па,864,0.00187363380868117,0.016975019764256142,,
нт,507,0.0010994587280108254,0.01080656976218418,,
ые,547,0.001186201033968287,0.011529204736494365,,
юд,185,0.0004011831650532598,0.004526730710269934,,
кп,175,0.00037949758856389436,0.004312467017768754,,
ау,320,0.0006939384476596926,0.0072814299837764395,,
вж,39,8.457374830852504e-05,0.001144234654444025,,
ья,317,0.000687432774712883,0.007222508146163975,,
вм,212,0.00045973422157454636,0.005097033004385653,,
йк,363,0.0007871864265639638,0.008116684782167498,,
кв,502,0.0010886159397661428,0.01071556154359436,,
рт,547,0.001186201033968287,0.011529204736494365,,
ир,824,0.0017868915027237085,0.016311339324103842,,
сч,232,0.0005031053745532772,0.0055124510176354745,,
ыс,559,0.0012122237257555255,0.011744178983623815,,
ех,284,0.0006158703722979772,0.006568310272013149,,
рк,252,0.0005464765275320079,0.005922468248144014,,
кд,47,0.00010192220950001735,0.0013515133589712056,,
вя,168,0.0003643176850213386,0.004161424349516367,,
вы,1423,0.0030858575344366954,0.025736400003651346,,
ыш,289,0.0006267131605426599,0.0066681698005723496,,
шл,204,0.00044238576038305405,0.004929242383877053,,
яб,193,0.0004185316262447521,0.004696919167009042,,
ич,1153,0.0025003469692238297,0.02161213902099639,,
йж,56,0.0001214392283404462,0.0015796180728749102,,
вг,203,0.0004402172027341175,0.004908200317763337,,
хк,144,0.00031227230144686166,0.0036363821499633873,,
аг,780,0.0016914749661705007,0.015574259910789562,,
йт,393,0.0008522431560320599,0.008689852402338287,,
кч,103,0.00022336143784046356,0.002709001729034371,,
чу,274,0.0005941847958086118,0.0063677600297376855,,
нг,84,0.0001821588425106693,0.0022628710172688526,,
дь,359,0.0007785121959682176,0.008039689795131024,,
йс,609,0.0013206516082023524,0.012631417677772193,,
бя,211,0.0004575656639256098,0.00507611157291462,,
аю,420,0.0009107942125533465,0.009199556415555836,,
еи,682,0.0014789563165747198,0.013903971287423324,,
нб,83,0.00017999028486173277,0.0022390419471867355,,
нм,44,9.541653655320773e-05,0.0012743261224288029,,
би,355,0.0007698379653724714,0.007962555370452113,,
ля,795,0.0017240033309045488,0.01582638802794655,,
ян,844,0.0018302626557024392,0.0166439209802536,,
сж,68,0.00014746192012768467,0.0018768024083124027,,
рд,150,0.0003252836473404809,0.0037687409188978476,,
мч,225,0.00048792547101072137,0.005367693274658792,,
пы,166,0.00035998056972346554,0.004118103324650005,,
иш,328,0.000711286908851185,0.007438126912737292,,
йд,232,0.0005031053745532772,0.0055124510176354745,,
км,96,0.00020818153429790777,0.0025460331575491296,,
вп,487,0.0010560875750320947,0.010441595739480307,,
см,382,0.000828389021893758,0.008480553040707193,,
мк,290,0.0006288817181915964,0.006688109078597431,,
уз,207,0.0004488914333298636,0.004992276863680949,,
ыр,172,0.0003729919156170848,0.004247843801283535,,
зу,244,0.0005291280663405156,0.005759080371622916,,
бу,615,0.0013336629540959717,0.01273700157060131,,
яж,124,0.0002689011484681309,0.0031893387663619174,,
яо,276,0.0005985219111064848,0.0064079601143253685,,
бк,75,0.00016264182367024046,0.0020470122831191644,,
зи,281,0.0006093646993511675,0.006508262667051108,,
юс,245,0.0005312966239894521,0.005779548190406795,,
дя,228,0.0004944311439575309,0.005429814521131194,,
яу,150,0.0003252836473404809,0.0037687409188978476,,
чк,273,0.0005920162381596753,0.006347642880972584,,
ии,693,0.0015028104507130218,0.014093538593806885,,
иг,569,0.0012339093022448908,0.011922707775080093,,
яд,487,0.0010560875750320947,0.010441595739480307,,
ьз,221,0.0004792512404149752,0.005284669982845299,,
мя,318,0.0006896013323618195,0.007242158586699468,,
юу,23,4.9876825925540404e-05,0.0007128032267918399,,
ьэ,78,0.00016914749661705008,0.002119321812271,,
ща,263,0.0005703306616703099,0.006145834038369014,,
кн,568,0.0012317407445959544,0.011904879799430343,,
мп,528,0.0011449984386384929,0.011187137003242366,,
еэ,158,0.0003426321085319732,0.003944056026689187,,
уч,546,0.0011840324763193505,0.011511253285625817,,
мд,146,0.0003166094167447347,0.0036805870703279374,,
зм,187,0.00040552028035113286,0.004569377503716002,,
ьб,162,0.00035130633912771936,0.00403123418852584,,
ыо,135,0.0002927552826064328,0.00343636653558662,,
ту,1138,0.0024678186044897817,0.021377596945670405,,
ьу,121,0.0002623954755213213,0.003121448583116023,,
еш,422,0.0009151313278512196,0.00923709181797802,,
шн,200,0.00043371152978730786,0.00484498134313247,,
кл,478,0.0010365705561916658,0.010276525214433955,,
ым,792,0.0017174976579577392,0.01577603377988186,,
ыэ,25,5.421394122341348e-05,0.0007682644915617992,,
дд,31,6.722528711703273e-05,0.0009317852658245449,,
ях,122,0.0002645640331702578,0.0031441042189817156,,
сю,50,0.00010842788244682697,0.0014281011006767716,,
юз,38,8.24051906595885e-05,0.0011179834145750125,,
уи,381,0.0008262204642448215,0.008461477108881642,,
сх,88,0.00019083307310641546,0.0023578191717511902,,
хо,1074,0.002329030914957843,0.020369831302814546,,
рь,342,0.0007416467159362965,0.007710886264091062,,
вл,416,0.0009021199819576004,0.009124396080168974,,
пя,201,0.0004358800874362444,0.004866069874066921,,
цу,79,0.0001713160542659866,0.00214334406761058,,
зг,183,0.0003968460497553867,0.00448401627080635,,
вк,489,0.0010604246903299678,0.010478207070646112,,
рл,100,0.00021685576489365393,0.002639346436459889,,
аа,213,0.00046190277922348287,0.0051179396784087235,,
ух,421,0.000912962770202283,0.009218327832408623,,
хг,61,0.0001322820165851289,0.0017043341260759867,,
зо,389,0.0008435689254363138,0.008613856433895072,,
лу,829,0.0017977342909683911,0.016394625696484304,,
хи,296,0.0006418930640852157,0.0068075194835890435,,
хв,223,0.00048358835571284825,0.005326209688028358,,
йф,29,6.288817181915965e-05,0.0008777208926619133,,
фо,114,0.00024721557197876547,0.002962122832544362,,
аш,517,0.0011211443045001908,0.010988124892640179,,
ню,77,0.00016697893896811352,0.0020952594459945424,,
пл,459,0.0009953679608618714,0.009926289500676411,,
дч,60,0.00013011345893619236,0.0016794970044498646,,
цч,4,8.674230595746157e-06,0.00014585573690198466,,
ощ,155,0.0003361264355851636,0.0038784649149031848,,
щу,80,0.00017348461191492315,0.002167326719773956,,
гр,747,0.001619912563755595,0.015016376188681244,,
юш,35,7.589951771277888e-05,0.0010387266261194532,,
пт,90,0.00019517018840428855,0.0024050782651996055,,
рж,130,0.0002819124943617501,0.003324443211541482,,
юч,109,0.00023637278373408278,0.0028474998283743416,,
ял,527,0.0011428298809895562,0.011169074846601902,,
бм,28,6.07196141702231e-05,0.0008505286506076782,,
иж,226,0.0004900940286596579,0.005388414179751886,,
зя,125,0.0002710697061170674,0.0032119180915029166,,
аэ,169,0.00036648624267027517,0.004183056872390641,,
ьт,389,0.0008435689254363138,0.008613856433895072,,
кж,80,0.00017348461191492315,0.002167326719773956,,
тт,173,0.0003751604732660213,0.004269402923105764,,
ыч,126,0.00027323826376600397,0.003234472387838011,,
тя,283,0.0006137018146490406,0.006548305471791303,,
оа,140,0.00030359807085111553,0.0035477103627755816,,
лв,527,0.0011428298809895562,0.011169074846601902,,
йз,104,0.0002255299954894001,0.0027321590110210435,,
яр,174,0.00037732903091495785,0.004290943960622859,,
кш,21,4.5539710627667326e-05,0.0006567971755725479,,
нц,163,0.0003534748967766559,0.004052980146552651,,
цо,171,0.00037082335796814823,0.004226266490013679,,
шт,49,0.00010625932479789043,0.0014026361496733424,,
ющ,246,0.0005334651816383887,0.005800003239492499,,
мб,171,0.00037082335796814823,0.004226266490013679,,
ьр,96,0.00020818153429790777,0.0025460331575491296,,
сы,188,0.0004076888380000694,0.004590675759884684,,
дт,136,0.00029492384025536935,0.003458680976369436,,
зе,419,0.0009086256549044099,0.00918077754972609,,
нк,216,0.0004684084521702925,0.005180571845404621,,
нд,564,0.0012230665140002081,0.011833512719075972,,
вр,504,0.0010929530550640159,0.010751983441224012,,
хз,53,0.00011493355539363659,0.0015041253618836865,,
ыа,46,9.975365185108081e-05,0.001325852801732599,,
тп,369,0.000800197772457583,0.008231919169190463,,
ур,614,0.001331494396447035,0.012719417021377352,,
мр,135,0.0002927552826064328,0.00343636653558662,,
зз,76,0.000164810381319177,0.0020711564478308477,,
ву,416,0.0009021199819576004,0.009124396080168974,,
яг,212,0.00045973422157454636,0.005097033004385653,,
ря,579,0.0012555948787342562,0.0121006867021358,,
чо,58,0.0001257763436383193,0.0016296654416855072,,
зр,174,0.00037732903091495785,0.004290943960622859,,
ищ,133,0.0002884181673085597,0.0033916679567165845,,
нс,384,0.0008327261371916311,0.008518680355813256,,
лы,505,0.0010951216127129523,0.010770185072649863,,
нч,120,0.0002602269178723847,0.0030987670910273446,,
хн,321,0.0006961070053086291,0.007301051001807357,,
тз,89,0.000193001630755352,0.002381466295066397,,
дс,298,0.0006462301793830887,0.006847238010605936,,
дл,266,0.0005768363346171194,0.00620649957881605,,
яи,412,0.0008934457513618542,0.009049115413413775,,
рв,315,0.0006830956594150099,0.007183177625918716,,
зб,118,0.00025588980257451165,0.0030533256726655348,,
