Біграма,к-сть.,Частота,Ентропія
ва,3393,0.006190826337559687,0.0454137494291105
ан,3723,0.006792940304961602,0.04892104499270658
уш,415,0.0007572039287024079,0.007849956210826974
шк,229,0.0004178306016213287,0.004690062522560615
ке,496,0.0009049955388828779,0.009149325436592965
ев,2056,0.0037513524756919293,0.030229799229975922
вб,122,0.00022259970916070786,0.002700860296720901
ни,4028,0.007349439577863371,0.05209393044801303
иц,543,0.0009907511645431506,0.009886893738787926
це,445,0.000811941562102582,0.008335665281517267
вт,426,0.0007772743942824717,0.008028691376060491
тч,268,0.0004889895250415549,0.005377862209822483
ча,1224,0.0022332954427271017,0.019667762351170695
оч,1339,0.002443123037427769,0.021199119720492786
ьп,515,0.0009396627067029881,0.009448843547933046
пе,1138,0.002076380893646603,0.018504110949801415
ла,4378,0.007988045300865401,0.05566023451426276
сь,1907,0.0034794888964710647,0.028416668770216875
ьч,263,0.00047986658614152596,0.00529056703131728
че,2006,0.003660123086691639,0.0296246414051488
ез,1084,0.0019778531535262897,0.017764778305937156
зп,101,0.00018428336578058603,0.0022861800962852706
лн,640,0.0011677361792037134,0.01137616749950269
оо,920,0.001678620757605338,0.01547437881320536
ап,1549,0.0028262864712289876,0.02392981873333091
аб,657,0.0011987541714638121,0.011633008309247189
бы,1501,0.0027387062577887093,0.023312661200340402
ыл,1031,0.0018811500011859821,0.017032250762549623
ае,853,0.0015563733763449493,0.01451722220121828
оэ,195,0.0003557946171011314,0.004076220696027082
эт,1336,0.0024376492740877517,0.021159511677921017
об,2137,0.0038991440858723993,0.03120339502391719
ыт,410,0.0007480809898023789,0.007768460436650768
ть,2565,0.004680067655714883,0.036220236531677955
ем,2406,0.00438995819869396,0.03438029602079104
гл,837,0.0015271799718648564,0.014286637599935492
ло,3709,0.0067673960760415205,0.048773865045482756
пр,3570,0.006513778374620714,0.04730494527551945
жд,411,0.0007499055775823847,0.007784772369844319
де,2132,0.00389002114697237,0.03114353375780741
вс,1547,0.002822637295668976,0.02390418286152388
се,1727,0.0031510630960700204,0.02618516304243234
тк,594,0.0010838051413234464,0.01067513261984353
кр,1243,0.0022679626105472123,0.019922662244041985
ое,1130,0.0020617841914065565,0.01839501372247757
мт,179,0.0003266012126210386,0.0037821015593865327
ай,290,0.0005291304562016826,0.005759102935251295
йн,507,0.0009250660044629417,0.009322959570241362
ук,731,0.0013337736671842414,0.012737899191938554
ру,1336,0.0024376492740877517,0.021159511677921017
юм,84,0.00015326537352048738,0.001942129858240059
еп,1645,0.0030014468981095447,0.02515250361098826
ож,1049,0.0019139925812260866,0.017281819990022946
же,1628,0.002970428905849446,0.02493708639771587
ры,716,0.0013064048504841544,0.01251559653657782
зл,202,0.00036856673156117207,0.0042037934610093695
бл,321,0.0005856926773818625,0.0062889152563811515
ле,2562,0.004674593892374865,0.03618576603324563
нн,1838,0.0033535923396506642,0.027566787118043373
юе,21,3.8316343380121846e-05,0.0005621651513202584
зв,661,0.0012060525225838354,0.01169327203901984
им,1636,0.0029850256080894925,0.025038517116417185
ар,2954,0.00538983230213714,0.04061531791900998
рг,761,0.0013885113005844155,0.013180089958460445
га,1368,0.0024960360830479375,0.021581091133577274
ою,239,0.00043607647942138674,0.004867978953631797
юн,149,0.00027186357922086453,0.0032201777401221466
ик,1902,0.003470365957571036,0.028355306908751727
вн,713,0.001300931087144137,0.012471037290421828
ом,3441,0.0062784065509999655,0.045928966334852946
